province;red;green;blue;name;
1;26;230;88;x;
2;215;238;186;x;
3;57;33;204;x;
4;212;5;204;x;
5;200;144;77;x;
6;172;206;182;x;
7;112;72;156;x;
8;19;196;182;x;
9;141;203;208;x;
10;199;56;132;x;
11;15;215;125;x;
12;249;163;113;x;
13;46;11;142;x;
14;131;194;217;x;
15;104;54;205;x;
16;149;82;75;x;
17;176;54;80;x;
18;165;208;149;x;
19;34;48;167;x;
20;176;250;28;x;
21;51;31;59;x;
22;130;167;29;x;
23;191;14;13;x;
24;244;221;101;x;
25;160;144;59;x;
26;217;105;250;x;
27;212;167;79;x;
28;85;90;175;x;
29;234;58;143;x;
30;172;111;43;x;
31;62;50;101;x;
32;125;133;214;x;
33;79;247;67;x;
34;105;171;189;x;
35;250;105;38;x;
36;76;32;141;x;
37;244;192;149;x;
38;59;127;188;x;
39;247;134;27;x;
40;156;201;215;x;
41;193;246;0;x;
42;31;88;59;x;
43;80;249;120;x;
44;93;134;31;x;
45;146;214;209;x;
46;7;81;153;x;
47;28;116;216;x;
48;27;207;212;x;
49;255;71;248;x;
50;136;210;242;x;
51;48;244;107;x;
52;245;156;214;x;
53;232;63;26;x;
54;245;199;10;x;
55;197;164;19;x;
56;123;44;225;x;
57;219;238;40;x;
58;133;11;159;x;
59;41;64;242;x;
60;28;182;236;x;
61;73;104;43;x;
62;212;217;230;x;
63;129;251;93;x;
64;33;99;174;x;
65;241;110;29;x;
66;5;55;105;x;
67;252;200;249;x;
68;131;57;11;x;
69;68;63;54;x;
70;70;4;197;x;
71;121;161;72;x;
72;197;37;70;x;
73;232;13;64;x;
74;106;8;82;x;
75;151;207;164;x;
76;170;158;76;x;
77;11;163;196;x;
78;19;229;228;x;
79;116;27;78;x;
80;177;59;105;x;
81;21;154;148;x;
82;30;156;10;x;
83;53;147;62;x;
84;198;190;9;x;
85;6;66;192;x;
86;73;6;53;x;
87;136;119;83;x;
88;70;3;231;x;
89;89;203;224;x;
90;91;251;248;x;
91;184;52;174;x;
92;187;106;237;x;
93;219;179;18;x;
94;204;119;61;x;
95;203;71;98;x;
96;168;124;40;x;
97;84;166;208;x;
98;47;188;236;x;
99;16;204;83;x;
100;140;79;222;x;
101;143;75;26;x;
102;29;101;83;x;
103;79;55;109;x;
104;133;234;14;x;
105;5;199;185;x;
106;72;45;40;x;
107;213;193;217;x;
108;4;106;102;x;
109;149;210;211;x;
110;223;153;76;x;
111;22;148;41;x;
112;87;38;232;x;
113;105;118;68;x;
114;179;39;71;x;
115;207;77;240;x;
116;35;223;16;x;
117;60;189;222;x;
118;40;154;244;x;
119;46;28;159;x;
120;250;65;2;x;
121;143;211;62;x;
122;191;213;246;x;
123;251;124;79;x;
124;201;216;78;x;
125;44;20;173;x;
126;65;31;230;x;
127;103;69;104;x;
128;117;96;178;x;
129;98;162;223;x;
130;237;145;66;x;
131;60;246;70;x;
132;158;116;178;x;
133;138;148;136;x;
134;53;79;237;x;
135;248;31;248;x;
136;118;154;212;x;
137;191;27;5;x;
